rank,img_src,img_title,mx4d,dolby,atmos,mega_only,summary,score,title,booking_rate,release_date,like
134위,https://img.megabox.co.kr/SharedImg/2025/11/14/EHFxPwRvQm8wIOdQGGsK2sd4lLXgYI3a_420.jpg,"파리, 밤의 여행자들",0,0,0,1,"이혼 후 두 자녀와 함께
파리에서의 새 출발을
꿈꾸는 ‘엘리자베트’

즐겨 듣던 심야 라디오의
전화 교환원으로 일하게 된 그는
사연을 통해 만난 소녀 ‘탈룰라’를
집으로 초대한다

자유로운 영혼의 ‘탈룰라’는
가족에게 새로운 바람을 불러오고
아들 ‘마티아스’와는
묘한 감정을 나누며 가까워진다

서로의 온기를 채워가던 어느 날,
‘탈룰라’는 아무런 말도 없이 사라지는데…",0점,"파리, 밤의 여행자들",예매율 0%,개봉일 2025.12.17,33
135위,https://img.megabox.co.kr/SharedImg/2025/11/21/F9e5Cp9DXT2YHis00dM3OD8DNgsBMtih_420.jpg,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,0,0,0,1,"떡잎마을 어린이 엔터 페스티벌에서 우승한 떡잎마을 방범대 짱구, 맹구, 철수, 유리, 훈이는
우승 상품으로 인도 엔터 페스티벌 무대에 초청받아, 여행을 만끽한다.
짱구와 맹구는 수상한 잡화점에서 코 모양처럼 생긴 배낭을 발견하고,
맹구는 배낭의 콧구멍에 꽂혀 있는 휴지(?)를 홀린 듯이 자신의 코에 꽂아버린다.
그 순간, 알 수 없는 힘이 맹구에게서 뿜어져 나오는데…!

겉보기에는 평범한 휴지 같은 이 종이의 비밀은 바로,
종이를 코에 꽂는 사람에게 욕망을 불러일으켜 무자비하고 제멋대로인 폭군으로 만들어 버리는 것.

“나에 대해 다 아는 척하지 마”
순둥이 맹구, 흑화해서 폭군으로 대변신! 폭주를 시작한다!",0점,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,예매율 0%,개봉일 2025.12.24,203
136위,https://img.megabox.co.kr/SharedImg/2025/11/17/8h9wcpduCUfQSzSLV459VJJDyvkYydHB_420.jpg,슈퍼 해피 포에버,0,0,0,1,"“저도 사노예요, 사노 나기”
5년 전, 아내 나기와 사랑에 빠졌던 휴양지를 다시 찾은 사노
아내가 잃어버린 빨간 모자를 찾아 헤매지만,
이미 너무 많은 시간이 흘러버렸다

모든 걸 포기하고 돌아가려던 순간,
누군가 바비 다린의 ‘Beyond the Sea’를 흥얼거리자
영원하길 바랐던 그 여름이 다시 피어나기 시작한다",0점,슈퍼 해피 포에버,예매율 0%,개봉일 2025.12.24,33
137위,https://img.megabox.co.kr/SharedImg/2025/11/27/FNqdjFxA1XeAxKw2oO0lvZVBq0O5djKd_420.jpg,이사벨라 두크로트 언리미티드,0,0,0,1,"이사벨라 두크로트가 55세의 나이에 시각예술가가 되기로 결심했을 때, 지금 94세인 그녀 자신조차도 자신이 현재 세계적인 갤러리들의 구애를 받고 있는 예술가가 되리라고는 상상조차 못했을 것이다.
이 다큐멘터리는 예술가로서의 그녀의 성공과 개인적인 삶을 지켜보고 카메라에 담고 있으며 독학으로 예술을 득하고 아웃사이더임에도 불구하고 정상에 오른 한 예술가의 초상 그 이상이다.
20세기를 온전히 관통한 후 <진정 행복한 삶은 예순부터 시작된다!>고 밝히며 여전히 우리와 동시대를 살고 있는 한 여성의 삶을 깊이 살펴보는 작품이기도 하다. 우리는 그녀의 말과 행동에 경탄할 수 밖에 없으며 그녀의 말을 믿을 수 밖에 없다.

2024 베네스국제영화제 공식 상영작",0점,이사벨라 두크로트 언리미티드,예매율 0%,개봉일 2025.12.24,1
138위,https://img.megabox.co.kr/SharedImg/2025/11/24/fNCb6KUQtuVqy37SyiQBO0LzUqrV1JYt_420.jpg,대한민국은 국민이 합니다,0,0,0,1,,0점,대한민국은 국민이 합니다,예매율 0%,개봉일 2025.12,20
139위,https://img.megabox.co.kr/SharedImg/2025/11/26/77JqYZuehnyS83fg7QTm1xL16LT7ZwRA_420.jpg,마이 선샤인,0,0,0,1,"홋카이도 작은 시골 마을의 아이스링크.
아이스하키에 집중하지 못하는 소년 ‘타쿠야’는
빙판 위에서 춤추는 소녀 ‘사쿠라’의 스케이팅에 시선을 빼앗긴다.
혼자 어설프게 동작을 따라 해보던 그에게 뜻밖의 기회가 찾아오는데…
“아이스 댄스를 해보자”
첫눈과 함께 처음으로 잘하고 싶은 게 생겼다!",0점,마이 선샤인,예매율 0%,개봉일 2025.12.31,24
140위,https://img.megabox.co.kr/SharedImg/2025/11/18/cxEBRYK1N1HGnW1ayHEbfoXjdF3uZApp_420.jpg,만약에 우리,0,0,0,1,"“그때, 우리 왜 헤어졌지?”

고향 가는 고속버스에 올라탄 은호(구교환)와
휴학 후 어디론가 떠날 결심을 한 정원(문가영),
나란히 앉게 된 두 사람은 뜻밖의 인연을 맺는다.

서로의 꿈을 응원하며 의지하던 두 사람은
어느새 일상 깊숙이 스며들어 연인으로 발전한다.

웃고, 싸우고, 화해하며 세상을 다 가진 듯 뜨겁게 사랑하지만,
현실의 벽 앞에 두 사람은 결국 다른 길을 선택하게 된다.

그렇게 10년이 지난 후, 다시 마주한 순간
은호는 정원에게 오랫동안 묻어두었던 한마디를 꺼낸다.

“만약에 우리...”",0점,만약에 우리,예매율 0%,개봉일 2025.12.31,40
141위,https://img.megabox.co.kr/SharedImg/2025/11/25/v344HrDrKIU3iFAbZWMwLssegzKFKdZ7_420.jpg,신의악단,0,0,0,1,"대북제재로 돈줄이 막힌 북한.
국제사회의 2억 달러 지원을 얻기 위한 마지막 방법은 단 하나!
보위부는 당의 명령을 받고, 북한 최초의 가짜 찬양단을 만드는 임무를 맡는다.",0점,신의악단,예매율 0%,개봉일 2025.12.31,21
142위,https://img.megabox.co.kr/SharedImg/2025/11/18/rwx6GZnCpeEN7Hl6FdawHgIF1yAr33D4_420.jpg,용서를 위한 여행,0,0,0,1,"서로 사랑하라. 
가장 가깝고도 가장 먼 나라, 미움과 증오, 그리고 애증의 감정이 교차하는 그 땅에도 
오늘도 1,500여 명의 한국 선교사들이 땀과 눈물로 섬기고 있다.

우리보다 개신교 역사는 30년 먼저 시작되었지만,
천황제와 신사 문화 속 우상숭배에 눌려 
복음화율 0.4%에 머물러 있는 나라.

그 어둠 속 1억 3천만 영혼에게 
빛을 전하고자 하는 마음으로,
12명의 라이더가 34일 동안 2,300km를 자전거로 달린다.

상처의 역사를 지나, 
미움을 넘어 사랑으로 나아가기 위한 여정 
그 길의 끝에서 우리는 무엇을 보게 될까.",0점,용서를 위한 여행,예매율 0%,개봉일 2025.12,1
143위,https://img.megabox.co.kr/SharedImg/2025/11/07/uPf8T7s9E7NL0rC0PMF5NUAAYSUMUU99_420.jpg,잊혀진 대통령: 김영삼의 개혁시대,0,0,0,1,,0점,잊혀진 대통령: 김영삼의 개혁시대,예매율 0%,개봉일 2025.12,5
